Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-PA2035	504	310	149	139	16	10	3	9	host	gene-PA2035	1.1889353436844194	0	0	0	1
gene-PA4922	464	728	605	776	138	184	79	76	host	azu	0.7275943951611553	0	0	0	1
gene-PA1954	15	10	8	7	0	4	4	6	host	gene-PA1954	0.6230594015281748	0	1	0	1
gene-PA3565	26	19	15	22	2	1	2	1	host	gene-PA3565	0.9022469655126912	0	0	0	1
gene-PA4248	1126	1923	2334	3655	718	1021	570	351	host	rplF	0.7120645074276652	0	0	0	1
gene-PA2126	1	3	6	2	0	0	1	0	host	gene-PA2126	1.1892019102877158	0	1	0	1
gene-PA1705	214	33	36	10	7	7	0	4	host	pcrG	1.7328743660495103	0	1	0	1
gene-PA1398	38	35	12	31	5	3	2	1	host	gene-PA1398	0.9440613234867558	0	0	0	1
gene-PA5244	18	41	9	15	5	1	3	2	host	gene-PA5244	1.0619131671036408	0	0	0	1
gene-PA3673	98	106	86	111	26	14	17	9	host	plsB	0.7302617913038101	0	0	0	1
gene-PA0962	72	59	68	52	9	7	5	12	host	gene-PA0962	0.784824322014368	0	0	0	1
gene-PA2868	27	19	15	29	4	5	2	3	host	gene-PA2868	0.7966275068156915	0	0	0	1
gene-PA2828	51	83	52	68	9	17	8	6	host	gene-PA2828	0.7746444624618001	0	0	0	1
gene-PA2980	50	96	76	104	14	21	17	6	host	gene-PA2980	0.7668110144908226	0	0	0	1
gene-PA0777	7	6	5	7	0	3	2	0	host	gene-PA0777	0.7272474743090476	0	1	0	1
gene-PPLUZ19_gp41	0	0	125	238	12	118	19679	13320	phage	gp41	1.740091877647717	0	1	0	1
gene-PA2044	173	230	217	328	26	26	8	12	host	gene-PA2044	0.9155498071882938	0	0	0	1
gene-PA3933	70	54	139	193	36	30	7	11	host	gene-PA3933	0.9117733215274005	0	0	0	1
gene-PA0007	112	133	92	127	21	38	13	10	host	gene-PA0007	0.7273714466329522	0	0	0	1
gene-PA4618	158	128	3196	48	17	18	5	5	host	gene-PA4618	2.3283957584905703	0	0	0	1
gene-PA0554	136	160	79	130	18	17	9	9	host	gene-PA0554	0.8645574388152166	0	0	0	1
gene-PA0475	21	15	8	7	1	2	1	1	host	gene-PA0475	1.0025477748298715	0	0	0	1
gene-PA1175	14	9	3	8	2	0	1	0	host	napD	1.0365842654467625	0	1	0	1
gene-PA1098	184	191	124	175	9	31	9	11	host	fleS	0.8637000468989353	0	0	0	1
gene-PA2293	8	5	2	3	0	0	0	0	host	gene-PA2293	1.2322818340454909	0	1	0	1
gene-PA4470	10144	7558	3765	2932	434	180	75	149	host	fumC1	1.139811864121463	0	0	0	1
gene-PA4061	111	92	59	72	25	16	11	7	host	gene-PA4061	0.7614862529575124	0	0	0	1
gene-PA0314	151	130	93	150	13	17	14	8	host	gene-PA0314	0.8518770125108697	0	0	0	1
gene-PA1477	69	106	52	107	14	24	11	5	host	ccmC	0.8068286516751818	0	0	0	1
gene-PA3869	9	14	2	8	1	2	0	1	host	gene-PA3869	1.02524739126436	0	1	0	1
gene-PA3435	90	79	55	88	18	14	12	10	host	gene-PA3435	0.7383927172118081	0	0	0	1
gene-PA1527	1052	873	709	1070	128	136	60	49	host	gene-PA1527	0.8438585866938738	0	0	0	1
gene-PA1397	62	41	22	29	7	4	5	0	host	gene-PA1397	0.9597433336241445	0	1	0	1
gene-PA3465	120	84	67	104	20	15	6	8	host	gene-PA3465	0.8173862780342535	0	0	0	1
gene-PA1867	1	2	0	2	0	1	0	0	host	xphA	1.1055415967851332	0	1	0	1
gene-PA5249	40	48	22	29	5	5	4	1	host	gene-PA5249	0.8868332802690411	0	0	0	1
gene-PA2717	47	30	18	20	6	5	1	2	host	cpo	0.9350970998472082	0	0	0	1
gene-PA3658	133	120	139	198	25	23	14	9	host	glnD	0.8278520382351074	0	0	0	1
gene-PA1853	59	72	36	44	9	20	10	2	host	gene-PA1853	0.7565952563690784	0	0	0	1
gene-PA1287	85	104	61	65	14	6	5	3	host	gene-PA1287	0.8861007530862468	0	0	0	1
gene-PA5022	138	79	86	101	23	20	14	9	host	gene-PA5022	0.7724429918415262	0	0	0	1
gene-PA2407	129	170	171	223	17	28	6	9	host	gene-PA2407	0.8795060725246799	0	0	0	1
gene-PA2795	51	52	37	80	11	16	9	4	host	gene-PA2795	0.7767326499301132	0	0	0	1
gene-PA5547	38	40	16	28	3	4	4	4	host	gene-PA5547	0.8746645612637298	0	0	0	1
gene-PA5304	75	61	209	607	131	233	53	33	host	dadA	1.0109755620962888	0	0	0	1
gene-PA4643	19	23	14	22	6	11	3	5	host	gene-PA4643	0.5726509554585875	0	0	0	1
gene-PA4700	400	420	399	641	83	113	76	53	host	mrcB	0.75251951968718	0	0	0	1
gene-PA3250	79	63	55	48	9	7	5	5	host	gene-PA3250	0.8439704098781108	0	0	0	1
gene-PA4889	26	61	24	82	6	4	0	2	host	gene-PA4889	1.1123555725084764	0	1	0	1
gene-PA3632	7	20	18	49	9	7	5	2	host	gene-PA3632	0.973571431614916	0	0	0	1
gene-PA3002	174	179	161	194	47	56	29	24	host	mfd	0.649172471011627	0	0	0	1
gene-PA3412	31	24	6	14	1	4	5	3	host	gene-PA3412	0.9381712472977406	0	0	0	1
gene-PA4366	215	253	278	369	104	104	49	39	host	sodB	0.6350608559412668	0	0	0	1
gene-PA2900	154	131	143	178	36	47	24	20	host	gene-PA2900	0.6720109181286805	0	0	0	1
gene-PA5359	285	138	54	79	13	22	12	7	host	gene-PA5359	1.170813199205358	0	0	0	1
gene-PA5083	23	20	6	9	5	2	1	0	host	gene-PA5083	0.9879903264788549	0	1	0	1
gene-PA1824	62	72	44	97	7	15	6	8	host	gene-PA1824	0.8461847180380773	0	0	0	1
gene-PA4055	97	131	166	200	34	44	11	11	host	ribC	0.7866485042543807	0	0	0	1
gene-PA5538	12	12	4	7	0	4	0	0	host	amiA	0.9699630933014225	0	1	0	1
gene-PA2516	2	2	3	1	0	0	0	0	host	xylZ	1.118033988749895	0	1	0	1
gene-PA1470	39	19	12	15	2	9	3	1	host	gene-PA1470	0.93637599285757	0	0	0	1
gene-PA5512	102	87	45	72	10	9	8	3	host	mifS	0.8957888376862909	0	0	0	1
gene-PA3246	25	15	17	30	4	9	5	4	host	rluA	0.6825466110626006	0	0	0	1
gene-PA1007	57	76	78	116	16	16	10	1	host	gene-PA1007	0.8396841035282508	0	0	0	1
gene-PA3434	72	60	36	66	6	14	11	4	host	gene-PA3434	0.7979932958731085	0	0	0	1
gene-PA3216	13	7	2	8	1	2	1	0	host	gene-PA3216	1.0103272963128038	0	1	0	1
gene-PA0834	34	36	50	58	14	16	17	2	host	gene-PA0834	0.6377631493705371	0	0	0	1
gene-PA5055	23	16	6	21	4	4	9	2	host	gene-PA5055	0.7258928400424635	0	0	0	1
gene-PA3019	215	232	199	349	62	88	48	30	host	gene-PA3019	0.6910158778065713	0	0	0	1
gene-PA1647	37	25	13	22	5	6	2	1	host	gene-PA1647	0.8726656456586891	0	0	0	1
gene-PA0393	59	53	46	61	10	10	5	1	host	proC	0.8039780312414433	0	0	0	1
gene-PA4539	106	97	81	117	22	20	15	7	host	gene-PA4539	0.7455855361071687	0	0	0	1
gene-PA4580	91	99	49	65	13	20	5	5	host	gene-PA4580	0.8262755940305679	0	0	0	1
gene-PA0501	183	135	218	298	29	34	14	7	host	bioF	0.8979814970685199	0	0	0	1
gene-PA4411	709	553	580	763	69	81	29	22	host	murC	0.8761429935193322	0	0	0	1
gene-PA3360	10	6	4	11	1	0	0	2	host	gene-PA3360	0.9611843904922466	0	1	0	1
gene-PA1154	17	13	5	12	1	2	1	1	host	gene-PA1154	0.9358096200458799	0	0	0	1
gene-PA1320	7	15	9	8	4	5	3	6	host	cyoD	0.49341617931316606	0	0	0	1
gene-PPLUZ19_gp32	0	0	1397	2248	342	1220	84885	68094	phage	gp32	1.6699761322273552	0	1	0	1
gene-PA2190	27	9	19	6	4	1	1	0	host	gene-PA2190	1.0877105678210177	0	1	0	1
gene-PA4692	55	57	47	47	19	21	11	19	host	gene-PA4692	0.5076602866126665	0	0	0	1
gene-PA2448	11	21	9	27	2	5	5	4	host	gene-PA2448	0.7968190728895957	0	0	0	1
gene-PA5513	20	26	10	25	3	6	6	3	host	poxA	0.7372353543871807	0	0	0	1
gene-PA1445	57	38	32	50	6	9	4	2	host	fliO	0.8394784141086123	0	0	0	1
gene-PA2297	2	5	3	3	0	0	1	0	host	gene-PA2297	0.9793792286287205	0	1	0	1
gene-PA3753	151	171	70	109	16	15	7	7	host	gene-PA3753	0.9286635409587706	0	0	0	1
gene-PA2747	80	59	25	50	5	13	7	17	host	gene-PA2747	0.8078291221694103	0	0	0	1
gene-PA5545	305	329	167	189	28	15	8	7	host	gene-PA5545	0.9682552400552905	0	0	0	1
gene-PA2364	121	90	65	87	21	28	7	11	host	gene-PA2364	0.7446945936813976	0	0	0	1
gene-PA0589	18	19	12	13	5	6	1	5	host	gene-PA0589	0.6251421886007973	0	0	0	1
gene-PA1982	17	14	5	10	2	5	1	1	host	exaA	0.8337905082034983	0	0	0	1
gene-PA2298	28	31	21	21	2	5	0	1	host	gene-PA2298	0.88829893261638	0	1	0	1
gene-PA4787	258	140	46	61	6	5	6	6	host	gene-PA4787	1.282139618698583	0	0	0	1
gene-PA3847	22	21	14	18	0	7	1	1	host	gene-PA3847	0.8343531175207253	0	1	0	1
gene-PA3894	8	19	4	4	3	4	0	0	host	gene-PA3894	1.0890092024789784	0	1	0	1
gene-PA0455	63	61	53	63	9	8	5	5	host	dbpA	0.8034122545892055	0	0	0	1
gene-PA1124	153	139	60	100	8	11	3	10	host	dgt	0.9663062117308303	0	0	0	1
gene-PA1212	8	3	2	6	0	0	2	1	host	gene-PA1212	0.9748913904330553	0	1	0	1
gene-PA3646	586	844	568	941	107	145	65	61	host	lpxD	0.8218541022630312	0	0	0	1
gene-PA4780	54	67	30	52	6	18	3	6	host	gene-PA4780	0.7996695669210473	0	0	0	1
gene-PA2647	47	63	66	91	22	34	42	27	host	nuoL	0.4412601696008092	0	0	0	1
gene-PA2460	43	112	98	261	23	21	8	6	host	gene-PA2460	1.1307283618079886	0	0	0	1
gene-PA1939	243	492	138	409	36	60	29	22	host	gene-PA1939	0.9664278122610961	0	0	0	1
gene-PA4706	352	362	246	357	18	20	8	3	host	gene-PA4706	0.9499150136565525	0	0	0	1
gene-PA4466	76	76	91	137	14	17	7	8	host	gene-PA4466	0.8532597460501344	0	0	0	1
gene-PA3530	224	144	4	14	1	3	2	0	host	gene-PA3530	1.6442508982035655	0	1	0	1
gene-PA3585	11	20	6	8	4	5	3	1	host	glpM	0.7733676376553725	0	0	0	1
gene-PA3023	103	76	45	75	10	13	3	2	host	gene-PA3023	0.9051522841188628	0	0	0	1
gene-PA1762	59	92	73	78	7	10	5	2	host	gene-PA1762	0.8784582006376884	0	0	0	1
gene-PA1269	13	20	6	13	0	3	1	3	host	gene-PA1269	0.906898455706559	0	1	0	1
gene-PA0821	49	107	29	71	9	11	14	6	host	gene-PA0821	0.9172281743055848	0	0	0	1
gene-PA0436	72	78	32	68	6	12	6	3	host	gene-PA0436	0.8872277258820301	0	0	0	1
gene-PA4416	352	336	233	407	29	51	14	14	host	murF	0.8870237253306313	0	0	0	1
gene-PA5563	124	157	116	154	28	48	40	19	host	soj	0.6309983600435494	0	0	0	1
gene-PA0809	47	42	29	46	14	21	12	6	host	gene-PA0809	0.5622686380759649	0	0	0	1
gene-PA3559	154	65	166	166	32	20	1	6	host	gene-PA3559	0.9038898887212673	0	0	0	1
gene-PA2576	12	19	6	13	0	1	3	1	host	gene-PA2576	0.9522483181944362	0	1	0	1
gene-PA3466	238	206	104	157	22	39	10	5	host	gene-PA3466	0.8902660408886431	0	0	0	1
gene-PA5282	7	7	3	8	1	1	1	0	host	gene-PA5282	0.8806305718527109	0	1	0	1
gene-PA4140	11	6	9	17	3	4	1	1	host	gene-PA4140	0.7994080650317895	0	0	0	1
gene-PA2767	4	8	6	12	2	3	2	1	host	gene-PA2767	0.7349600023036285	0	0	0	1
gene-PA0070	811	1005	669	1006	253	297	178	89	host	gene-PA0070	0.6563250509745665	0	0	0	1
gene-PA0867	313	340	336	697	34	26	9	13	host	mliC	1.04125011292676	0	0	0	1
gene-PA2857	30	33	10	7	5	0	4	0	host	gene-PA2857	1.0957792801376298	0	1	0	1
gene-PA3061	6	10	15	14	3	1	2	0	host	pelD	0.8696249749622229	0	1	0	1
gene-PA4583	105	109	84	126	12	29	2	7	host	gene-PA4583	0.8179888351804524	0	0	0	1
gene-PA4247	1248	2093	2107	3776	629	1022	520	334	host	rplR	0.7338864456099391	0	0	0	1
gene-PA2243	3	9	8	5	4	3	0	0	host	pslM	0.770551750371122	0	1	0	1
gene-PA0039	620	641	435	768	222	311	157	106	host	gene-PA0039	0.5674564741796934	0	0	0	1
gene-PA2506	5	2	5	5	1	0	0	0	host	gene-PA2506	0.9875771574795098	0	1	0	1
gene-PA0968	772	1028	349	674	51	83	40	18	host	gene-PA0968	0.9856856908341288	0	0	0	1
gene-PA0656	28	36	10	18	11	17	7	4	host	gene-PA0656	0.623482365808634	0	0	0	1
gene-PA0281	18	29	17	28	5	5	4	2	host	cysW	0.7635380788180853	0	0	0	1
gene-PA2429	16	8	9	9	1	2	0	0	host	gene-PA2429	0.9612235001725408	0	1	0	1
gene-PA5098	18	15	22	16	3	7	2	2	host	hutH	0.7073514124968194	0	0	0	1
gene-PA0469	112	98	45	37	10	11	5	6	host	gene-PA0469	0.9838661921430509	0	0	0	1
gene-PA0086	89	92	99	156	14	35	19	14	host	gene-PA0086	0.7518456194872095	0	0	0	1
gene-PA0654	74	121	90	134	45	62	53	23	host	speD	0.4717023032380706	0	0	0	1
gene-PA1552.1	125	194	136	255	48	74	50	32	host	ccoQ1	0.6466184969226536	0	0	0	1
gene-PA4784	14	17	33	71	9	15	6	3	host	gene-PA4784	0.9871624972203753	0	0	0	1
gene-PA3402	34	28	28	32	10	8	4	4	host	gene-PA3402	0.6636772517734418	0	0	0	1
gene-PA0108	69	53	29	39	8	6	1	3	host	coIII	0.9256774266583646	0	0	0	1
gene-PA5550	59	71	39	59	31	45	25	15	host	glmR	0.4166621597016027	0	0	0	1
gene-PA4957	72	75	91	134	18	18	11	9	host	psd	0.8093155764793369	0	0	0	1
gene-PA5035	215	294	173	291	20	27	19	11	host	gltD	0.8977452229116961	0	0	0	1
gene-PA0410	387	434	147	284	29	44	27	10	host	pilI	0.9564319785700531	0	0	0	1
gene-PA5493	523	510	504	706	111	133	63	49	host	polA	0.7524939716555784	0	0	0	1
gene-PA0526	3	6	2	2	1	0	1	1	host	gene-PA0526	0.8660254037844386	0	1	0	1
gene-PA3066	41	20	17	44	4	8	3	2	host	gene-PA3066	0.9063320659547222	0	0	0	1
gene-PA2488	3	5	2	4	4	0	1	0	host	gene-PA2488	0.7572365563125347	0	1	0	1
gene-PA0311	12	12	8	19	4	3	3	0	host	gene-PA0311	0.7784727915136896	0	1	0	1
gene-PA1440	156	119	167	209	43	54	22	18	host	gene-PA1440	0.6999004210210997	0	0	0	1
gene-PA0812	57	44	39	76	21	34	9	7	host	gene-PA0812	0.6164687750093248	0	0	0	1
gene-PA4945	355	698	520	1006	129	211	72	50	host	miaA	0.8363388071873772	0	0	0	1
gene-PA0229	25	23	5	9	2	0	1	0	host	pcaT	1.1812138977295135	0	1	0	1
gene-PA5491	246	350	206	416	153	197	100	46	host	gene-PA5491	0.5362929867360362	0	0	0	1
gene-PA2736	55	115	27	57	6	10	5	3	host	gene-PA2736	1.0542698481836579	0	0	0	1
gene-PA3569	475	528	291	453	24	13	7	4	host	mmsB	0.9870078813504669	0	0	0	1
gene-PA2406	52	61	55	75	2	5	3	0	host	gene-PA2406	0.9427933915497112	0	1	0	1
gene-PA3812	473	533	886	1182	91	91	45	22	host	iscA	0.9811401337388098	0	0	0	1
gene-PA4731	11	22	10	22	5	12	8	3	host	panD	0.5688771641467225	0	0	0	1
gene-PA0252	10	17	16	31	2	8	3	0	host	gene-PA0252	0.8825161304875675	0	1	0	1
gene-PA2780	15	23	12	10	2	3	1	1	host	gene-PA2780	0.8973861203317859	0	0	0	1
gene-PA0148	36	35	40	69	7	8	5	5	host	gene-PA0148	0.8496071107945549	0	0	0	1
gene-PA0278	17	4	2	7	1	2	0	1	host	gene-PA0278	1.232489814103351	0	1	0	1
gene-PA1697	171	62	68	39	42	21	6	16	host	gene-PA1697	0.9209322792560691	0	0	0	1
gene-PA3133	20	10	4	8	1	2	6	1	host	gene-PA3133	0.9166442529086911	0	0	0	1
gene-PA2107	6	6	3	7	1	1	0	0	host	gene-PA2107	0.9128709291752769	0	1	0	1
gene-PA3615	263	163	100	167	15	16	4	11	host	gene-PA3615	0.9831194750446901	0	0	0	1
gene-PA2802	107	64	40	74	9	12	8	16	host	gene-PA2802	0.8377458933460563	0	0	0	1
gene-PA3919	163	98	31	37	12	6	5	4	host	gene-PA3919	1.2018270819074646	0	0	0	1
gene-PA0781	12	7	11	14	2	1	1	2	host	gene-PA0781	0.8148619514985345	0	0	0	1
gene-PA5188	32	22	14	10	3	3	3	2	host	gene-PA5188	0.9237431195086329	0	0	0	1
gene-PA1534	156	130	177	245	19	23	8	10	host	recR	0.9014780975801169	0	0	0	1
gene-PA2062	15	10	0	6	1	0	1	0	host	gene-PA2062	1.2909944487358056	0	1	0	1
gene-PA4939	381	468	526	842	141	149	99	58	host	gene-PA4939	0.7641152795545558	0	0	0	1
gene-PA3728	412	626	332	711	65	129	85	37	host	gene-PA3728	0.8248297205882201	0	0	0	1
gene-PA4164	39	24	30	29	4	10	3	1	host	gene-PA4164	0.7861037995541488	0	0	0	1
gene-PA5079	199	117	26	61	3	9	10	4	host	gene-PA5079	1.2314731864047634	0	0	0	1
gene-PA1045	129	122	108	154	23	33	19	7	host	gene-PA1045	0.746791739838148	0	0	0	1
gene-PA4402	421	488	306	452	101	97	57	51	host	argJ	0.7199215528996407	0	0	0	1
gene-PA0839	9	15	9	20	1	2	2	1	host	gene-PA0839	0.9119526137162444	0	0	0	1
gene-PA0320	11	17	4	10	4	4	1	1	host	gene-PA0320	0.8104349040655953	0	0	0	1
gene-PA0367	88	76	19	64	5	7	3	4	host	gene-PA0367	1.0216437767430229	0	0	0	1
gene-PA1671	23	24	16	23	1	4	3	2	host	stk1	0.8164965809277259	0	0	0	1
gene-PA4798	83	58	37	38	12	19	8	7	host	gene-PA4798	0.7712190733124074	0	0	0	1
gene-PA5003	246	253	254	378	48	46	23	16	host	gene-PA5003	0.8295063811716112	0	0	0	1
gene-PA2888	26	22	11	17	3	1	2	4	host	atuC	0.8547895790460049	0	0	0	1
gene-PA2887	4	11	9	4	3	4	1	1	host	atuB	0.7247074420428067	0	0	0	1
gene-PA2273	37	18	25	15	1	10	2	2	host	soxR	0.8679795099840009	0	0	0	1
gene-PA1053	99	114	93	130	64	52	22	29	host	gene-PA1053	0.4923976998077691	0	0	0	1
gene-PA4608	136	152	56	101	6	15	10	6	host	gene-PA4608	0.95152927686903	0	0	0	1
gene-PA3998	252	253	208	288	40	41	14	22	host	gene-PA3998	0.8057698649841525	0	0	0	1
gene-PA4533	119	99	40	73	13	18	8	8	host	gene-PA4533	0.8742655797998934	0	0	0	1
gene-PA5314	45	40	69	67	11	13	10	2	host	gene-PA5314	0.7792114180834839	0	0	0	1
gene-PA2173	3	3	0	2	0	0	0	0	host	gene-PA2173	1.3228756555322954	0	1	0	1
gene-PA0946	140	113	68	87	13	14	6	3	host	gene-PA0946	0.9083029249058827	0	0	0	1
gene-PA2204	37	33	180	224	11	23	5	6	host	gene-PA2204	1.2436316143835986	0	0	0	1
gene-PA1079	250	258	246	260	19	13	3	11	host	flgD	0.9142283395006813	0	0	0	1
gene-PA3437	28	34	13	22	2	6	4	4	host	folM	0.8183328961693602	0	0	0	1
gene-PA3985	72	64	38	53	9	3	5	5	host	gene-PA3985	0.8742022701868554	0	0	0	1
gene-PA4255	1393	2166	988	2072	657	803	426	222	host	rpmC	0.6224493546370449	0	0	0	1
gene-PA4124	11	14	9	14	1	5	3	1	host	hpcB	0.7058444651882317	0	0	0	1
gene-PA0690	306	285	148	262	66	70	59	35	host	gene-PA0690	0.6891117208316129	0	0	0	1
gene-PA3394	4	2	2	5	3	2	0	0	host	nosF	0.7286042804780001	0	1	0	1
gene-PA3853	92	85	49	111	14	13	4	8	host	gene-PA3853	0.863735452348274	0	0	0	1
gene-PA4047	57	71	67	100	17	32	12	5	host	ribA	0.6995049480096341	0	0	0	1
gene-PA3945	59	53	37	55	8	8	3	3	host	gene-PA3945	0.8344433570876107	0	0	0	1
gene-PA4832	19	8	6	6	1	1	0	1	host	gene-PA4832	1.1258657540511323	0	1	0	1
gene-PA4347	23	31	12	20	6	7	2	1	host	gene-PA4347	0.7957499563805108	0	0	0	1
gene-PA3324	20	19	11	40	5	5	1	0	host	gene-PA3324	0.9932129250660124	0	1	0	1
gene-PA2532	456	332	304	335	53	49	18	16	host	tpx	0.8549730902182556	0	0	0	1
gene-PA1713	1976	1774	1794	1726	183	127	49	49	host	exsA	0.8974153044869339	0	0	0	1
gene-PA1506	72	42	21	50	6	2	1	2	host	gene-PA1506	1.0337898075031786	0	0	0	1
gene-PA3162	9185	16839	14824	24401	3683	5017	2340	1502	host	rpsA	0.7908566653866257	0	0	0	1
gene-PA1245	1040	1234	450	721	160	177	53	27	host	gene-PA1245	0.9037572728894406	0	0	0	1
gene-PA2761	75	60	30	40	6	19	6	3	host	gene-PA2761	0.8390660237195291	0	0	0	1
gene-PA3754	71	100	26	59	7	5	3	1	host	gene-PA3754	1.041629180409693	0	0	0	1
gene-PA0248	37	36	17	18	3	5	0	3	host	gene-PA0248	0.9360228046209268	0	1	0	1
gene-PA4978	59	78	49	118	2	13	3	3	host	gene-PA4978	0.9876060350531344	0	0	0	1
gene-PA0704	39	24	24	39	5	7	4	3	host	gene-PA0704	0.795917048241418	0	0	0	1
gene-PA3243	131	120	47	55	21	15	6	5	host	minC	0.9360021367496978	0	0	0	1
gene-PA4524.1	1061	931	738	970	132	182	63	31	host	gene-PA4524.1	0.8216305288083373	0	0	0	1
gene-PA2648	24	40	49	46	11	13	25	10	host	nuoM	0.5454666604108165	0	0	0	1
gene-PA3965	34	40	19	27	7	5	3	3	host	gene-PA3965	0.8088722470942508	0	0	0	1
gene-PA0421	265	250	99	127	42	54	29	23	host	gene-PA0421	0.8168361485795427	0	0	0	1
gene-PA1848	14	7	16	22	2	2	4	3	host	gene-PA1848	0.813658906622751	0	0	0	1
gene-PA4979	71	76	32	57	4	6	0	3	host	gene-PA4979	0.9772083762976446	0	1	0	1
gene-PA1498	7	5	8	3	2	3	2	1	host	pykF	0.6112030748869811	0	0	0	1
gene-PA0394	106	138	55	79	25	27	7	14	host	gene-PA0394	0.7863085459249721	0	0	0	1
gene-PA1734	32	26	9	21	2	5	0	2	host	gene-PA1734	0.9577646948784756	0	1	0	1
gene-PA2824	179	246	118	152	18	29	12	12	host	gene-PA2824	0.8869102357285887	0	0	0	1
gene-PA4741	1784	4956	1629	3576	1046	1962	836	432	host	rpsO	0.7001917892047828	0	0	0	1
gene-PA0706	74	142	65	160	26	38	22	9	host	cat	0.7869154401854291	0	0	0	1
gene-PA3354	170	69	51	74	17	14	10	4	host	gene-PA3354	1.0123282845321586	0	0	0	1
gene-PA3037	34	20	8	12	4	2	4	2	host	gene-PA3037	0.9753589290935242	0	0	0	1
gene-PA0555	167	231	223	265	48	56	45	21	host	fda	0.7072183738300556	0	0	0	1
gene-PA1086	262	226	376	367	57	32	15	20	host	flgK	0.8636386119636236	0	0	0	1
gene-PA4716	80	74	25	44	5	4	1	1	host	gene-PA4716	1.056204167655275	0	0	0	1
gene-PA1910	68	78	34	42	5	5	1	3	host	femA	0.9829047232134224	0	0	0	1
gene-PA4744	2639	3238	4413	6919	1391	1595	687	523	host	infB	0.7561833278610868	0	0	0	1
gene-PA0843	5	2	1	6	2	2	1	1	host	plcR	0.7211102550927978	0	0	0	1
gene-PA0162	18	21	24	30	5	3	5	3	host	opdC	0.744816275038341	0	0	0	1
gene-PA5402	35	46	11	21	6	12	3	5	host	gene-PA5402	0.8394484326836488	0	0	0	1
gene-PA3660	65	45	26	32	7	8	6	8	host	gene-PA3660	0.8262581109573769	0	0	0	1
gene-PA0097	43	26	20	38	9	8	2	2	host	gene-PA0097	0.8071991634090854	0	0	0	1
gene-PA2814	12	15	4	12	3	3	0	1	host	gene-PA2814	0.8681013765684282	0	1	0	1
gene-PA4377	64	67	27	57	7	7	2	0	host	gene-PA4377	0.9480321807028137	0	1	0	1
gene-PA1788	46	62	37	49	11	12	3	4	host	gene-PA1788	0.7730307436397629	0	0	0	1
gene-PA2370	17	13	24	14	3	4	1	3	host	gene-PA2370	0.7883749174187352	0	0	0	1
gene-PA4395	280	313	257	353	79	117	53	45	host	gene-PA4395	0.6313664280258758	0	0	0	1
gene-PA4065	30	32	29	29	2	3	4	4	host	gene-PA4065	0.8069669499544136	0	0	0	1
gene-PA5012	176	152	182	260	29	40	23	20	host	waaF	0.7915976033292669	0	0	0	1
gene-PA0930	298	272	33	40	6	8	7	2	host	gene-PA0930	1.409720410563841	0	0	0	1
gene-PA2466	95	99	49	46	8	4	2	5	host	foxA	0.9888056174825871	0	0	0	1
gene-PPLUZ19_gp45	0	0	146	248	27	141	4801	3122	phage	gp45	1.6296590321222049	0	1	0	1
gene-PA4296	123	112	88	112	31	32	29	27	host	pprB	0.5854945723276433	0	0	0	1
gene-PA1112	125	135	57	75	20	8	8	9	host	gene-PA1112	0.9029337697302083	0	0	0	1
gene-PA2622	294	515	138	253	33	55	44	25	host	cspD	0.9579000575925902	0	0	0	1
gene-PA1914	20	21	4	16	3	2	3	0	host	gene-PA1914	0.9524507130810294	0	1	0	1
gene-PA0094	17	9	5	10	6	7	3	5	host	gene-PA0094	0.5271011173667158	0	0	0	1
gene-PA2699	17	8	8	12	1	2	0	2	host	gene-PA2699	0.9077444574328173	0	1	0	1
gene-PA1414	33	26	18	12	6	4	0	0	host	gene-PA1414	0.9301160166934789	0	1	0	1
gene-PA2272	97	61	43	51	6	8	6	3	host	pbpC	0.9354364341386588	0	0	0	1
gene-PA3318	13	19	10	11	0	3	0	1	host	gene-PA3318	0.9347766178776997	0	1	0	1
gene-PA0904	656	961	568	833	141	186	107	61	host	lysC	0.76269838837839	0	0	0	1
gene-PA5281	29	24	9	23	2	6	1	0	host	gene-PA5281	0.933991662453105	0	1	0	1
gene-PA4714	210	245	73	138	12	20	15	13	host	gene-PA4714	0.9821351978513536	0	0	0	1
gene-PA1771	32	55	76	99	21	23	11	9	host	estX	0.7520531571779672	0	0	0	1
gene-PA3675	58	78	70	90	18	13	10	7	host	gene-PA3675	0.7489852518692054	0	0	0	1
gene-PA5118	144	245	249	458	77	104	52	36	host	thiI	0.7763297062445201	0	0	0	1
gene-PA3160	253	454	133	282	32	50	37	12	host	wzz	0.9473338124689867	0	0	0	1
gene-PA3613	50	46	33	52	9	15	7	3	host	gene-PA3613	0.7199393039737207	0	0	0	1
gene-PA1093	490	470	706	907	117	102	31	34	host	gene-PA1093	0.8788096074815377	0	0	0	1
gene-PA3121	64	61	25	38	7	3	3	4	host	leuC	0.9474848511343544	0	0	0	1
gene-PA5482	39	21	10	15	5	5	4	3	host	gene-PA5482	0.903451453608492	0	0	0	1
gene-PA4738	223	139	124	128	29	41	22	6	host	gene-PA4738	0.7992942853711272	0	0	0	1
gene-PA4118	41	54	24	59	11	10	5	3	host	gene-PA4118	0.8144503458854057	0	0	0	1
