Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA2005	140	107	48	124	202	150	18	17	14	8	7	235	host	gene-PA2005	0.8733493595645814	0	1
gene-PA0914	5	4	10	7	14	72	9	13	584	5	2	74	host	gene-PA0914	2.371432611747678	0	1
gene-PA1254	7	5	25	3	2	171	3	3	15	1	0	266	host	gene-PA1254	1.9561234670262824	0	1
gene-PA2151	7	12	25	9	12	224	2	0	25	1	2	312	host	gene-PA2151	1.8699152495578057	0	1
gene-PA2702	6	13	16	4	11	49	3	8	6	2	0	42	host	gene-PA2702	1.1338540470448566	0	1
gene-PA0634	197	214	55	209	265	154	126	188	28	103	77	97	host	gene-PA0634	0.48983479499833116	0	1
gene-PA0684	0	0	9	1	1	46	0	0	5	1	0	132	host	gene-PA0684	2.2805411309815526	0	1
gene-PA1389	64	49	45	33	30	317	6	3	43	4	0	143	host	gene-PA1389	1.3950782237061574	0	1
gene-PA0912	33	30	44229	18	29	285	2	7	2044	4	2	141	host	gene-PA0912	3.1193280765102434	0	1
gene-PA5445	266	231	53	151	281	318	30	38	36	5	9	334	host	gene-PA5445	0.8603141441337634	0	1
gene-PA4021	144	87	58	51	57	191	10	10	23	2	2	456	host	gene-PA4021	1.3600776062516213	0	1
gene-PA0799	110	85	89	89	139	167	13	21	91	11	8	355	host	gene-PA0799	0.9384249645227408	0	1
gene-PA5561	375	580	120	202	455	186	89	169	30	80	40	75	host	atpI	0.8467708866397708	0	1
gene-PA2890	9	8	12	6	4	33	0	4	8	0	0	53	host	atuE	1.3271630721288088	0	1
gene-PA2968	560	734	292	1236	2107	591	350	542	17	201	92	148	host	fabD	0.9840089831864487	0	1
gene-PA0385	18	32	18	11	28	83	2	2	12	2	3	76	host	gene-PA0385	1.1156084915642415	0	1
gene-PA2328	11	14	7	1	12	108	2	1	5	1	1	177	host	gene-PA2328	1.875981865178208	0	1
gene-PA3108	514	789	323	665	867	655	201	230	63	103	92	107	host	purF	0.7408214843937797	0	1
gene-PA2781	15	17	17	6	14	95	5	2	11	1	1	81	host	gene-PA2781	1.3660742202987721	0	1
gene-PA2075	21	9	31	9	7	153	2	1	26	0	0	172	host	gene-PA2075	1.6035873538808834	0	1
gene-PA1030.1	9	17	17	3	6	49	1	3	8	1	1	50	host	gene-PA1030.1	1.226385762542722	0	1
gene-PA4159	18	15	101	3	3	195	4	0	97	0	1	268	host	fepB	1.4627758864911242	0	1
gene-PA3987	1394	1517	595	1445	2067	915	257	341	92	156	117	464	host	leuS	0.8225472241804801	0	1
gene-PA4810	17	12	27	17	29	134	5	7	8	4	3	133	host	fdnI	1.3840226965659679	0	1
gene-PA4900	3	1	17	7	8	122	1	0	25	0	0	163	host	gene-PA4900	1.7985179576085908	0	1
gene-PA2759	18	30	60	5	12	79	4	5	4	3	1	138	host	gene-PA2759	1.3510725634536882	0	1
gene-PA0740	16	14	121	10	16	225	5	9	116	1	2	572	host	sdsA1	1.7273576115620415	0	1
gene-PA5484	112	122	57	119	154	350	13	15	42	6	7	514	host	gene-PA5484	1.1851440337969332	0	1
gene-PA1946	147	150	60	110	176	135	17	16	13	11	5	197	host	rbsB	0.8118516252171775	0	1
gene-PA1566	5	4	13	8	6	103	1	4	16	1	1	197	host	gene-PA1566	1.9119980876903944	0	1
gene-PA4781	154	77	26	33	38	129	7	8	19	3	1	204	host	gene-PA4781	1.1178397007032286	0	1
gene-PA4139	0	9	545	4	2	89	1	1	1234	0	0	113	host	gene-PA4139	2.129033121226753	0	1
gene-PA3258	83	111	40	52	98	260	13	14	39	9	7	223	host	gene-PA3258	1.0156197223940935	0	1
gene-PA2196	19	16	21	3	13	76	1	5	10	3	1	71	host	gene-PA2196	1.2492675678440328	0	1
gene-PA2766	7	8	10	1	2	79	4	1	12	2	0	116	host	gene-PA2766	1.7647869715971911	0	1
gene-PA2012	1792	939	701	1489	1680	562	183	170	35	44	57	331	host	liuD	0.9514380986759005	0	1
gene-PA4223	184	145	177	180	244	255	61	86	89	21	8	214	host	gene-PA4223	0.5805499976239121	0	1
gene-PA0188	5	3	24	2	6	214	3	5	17	0	0	344	host	gene-PA0188	2.0259918667004624	0	1
gene-PA2799	21	20	12	12	17	67	1	3	7	1	4	85	host	gene-PA2799	1.2393288506284361	0	1
gene-PA1405	60	38	25	15	17	160	5	2	16	4	2	341	host	gene-PA1405	1.6716463162327944	0	1
gene-PA4950	97	74	64	70	121	196	10	13	27	12	8	356	host	gene-PA4950	1.1128818062012438	0	1
gene-PA0567	43	46	27	22	33	92	4	3	11	6	2	30	host	gene-PA0567	0.9301580160424522	0	1
gene-PA3734	24	33	41	12	14	316	3	6	34	2	2	364	host	gene-PA3734	1.712068727383982	0	1
gene-PA0882	7	7	14	5	7	113	0	2	11	0	1	271	host	gene-PA0882	2.1031896057644706	0	1
gene-PA5065	119	111	90	116	160	267	39	28	36	27	16	278	host	ubiB	0.8019291728919415	0	1
gene-PA3750	30	21	13	27	51	40	2	5	2	0	3	92	host	gene-PA3750	1.0920963594888156	0	1
gene-PA4170	29	35	23	15	22	156	0	0	19	2	0	136	host	gene-PA4170	1.3863632451904726	0	1
gene-PA3605	65	69	23	28	32	91	14	5	10	9	3	66	host	gene-PA3605	0.8355124168398513	0	1
gene-PA2389	467	520	99	529	875	272	110	148	21	65	49	299	host	pvdR	0.8708918658687422	0	1
gene-PA0095	240	261	236	84	151	581	27	44	66	28	13	678	host	gene-PA0095	1.0497142194252596	0	1
gene-PA3705	95	75	30	61	85	103	12	13	14	9	7	104	host	wspD	0.7591774598290345	0	1
gene-PA4988	61	52	21	41	60	112	7	13	16	5	4	130	host	waaA	0.9242932714794143	0	1
gene-PA1476	72	91	17	44	69	61	6	19	7	8	5	117	host	ccmB	0.8546841210752075	0	1
gene-PA4447	101	151	65	101	173	230	37	44	32	19	15	170	host	hisC1	0.7213228444682713	0	1
gene-PA4757	99	99	60	131	169	220	44	35	23	25	17	212	host	gene-PA4757	0.7464444053651574	0	1
gene-PA3280	9	17	30	4	9	168	1	1	28	5	1	158	host	oprO	1.6051979106523135	0	1
gene-PA5427	33	26	444	17	27	210	8	5	19	1	2	365	host	adhA	1.544601143010453	0	1
gene-PA1051	26	21	31	73	98	215	27	21	20	6	6	393	host	gene-PA1051	1.41341479336833	0	1
gene-PA3801	911	885	361	477	804	387	122	159	49	73	65	226	host	gene-PA3801	0.8286681552594539	0	1
gene-PA4239	951	2177	1416	1720	3058	2365	769	959	169	552	277	233	host	rpsD	0.7348057278792869	0	1
gene-PA0482	1471	785	227	378	484	518	96	112	56	64	69	596	host	glcB	0.9835562348435665	0	1
gene-PA2920	155	90	41	58	73	159	15	10	13	7	3	197	host	gene-PA2920	0.9525958560663904	0	1
gene-PA1499	5	4	22	5	2	165	1	1	18	2	2	334	host	gene-PA1499	2.0797693690325563	0	1
gene-PA5565	492	371	7009	2927	506	566	99	279	547	82	64	339	host	gidA	1.7392457373099959	0	1
gene-PA3298	5	3	6	4	8	109	0	3	5	0	0	100	host	gene-PA3298	1.8665670494027724	0	1
gene-PA2490	3	7	8	8	10	61	3	6	3	5	1	77	host	gene-PA2490	1.5034682127223928	0	1
gene-PA3784	30	47	15	36	72	73	7	9	5	5	6	81	host	gene-PA3784	0.8748808611741903	0	1
gene-PPLUZ19_gp13	0	0	25	114	89	25971	42729	40120	14534	17883	14853	21214	phage	gp13	1.011102657729999	0	0
gene-PA3586	28	11	16	8	14	161	8	3	12	4	4	345	host	gene-PA3586	1.914907777687543	0	1
gene-PA0321	25	21	44	9	25	266	5	4	47	1	0	185	host	gene-PA0321	1.5274159614550986	0	1
gene-PA1019a	7	5	9	2	5	50	1	1	7	0	0	78	host	gene-PA1019a	1.6991652463593	0	1
gene-PA4136	30	29	23	12	18	165	2	1	14	1	1	164	host	gene-PA4136	1.4953361647959602	0	1
gene-PA3732	343	440	267	121	202	235	35	38	47	25	14	192	host	gene-PA3732	0.8217640152643871	0	1
gene-PA3361	13	30	24	6	23	96	0	4	9	3	2	60	host	lecB	1.2212790973994667	0	1
gene-PA1574	47	63	39	49	68	67	21	17	7	10	5	48	host	gene-PA1574	0.6192220232260468	0	1
gene-PA5050	49	45	990	29	38	304	4	7	39	3	2	442	host	priA	1.737577443708232	0	1
gene-PA5046	13675	1002	616	579	825	614	180	249	69	136	77	207	host	gene-PA5046	2.420636158707355	0	1
gene-PA1607	228	195	37	88	118	75	69	61	15	45	55	68	host	gene-PA1607	0.6931244924443891	0	1
gene-PA0965	302	298	86	232	348	216	57	62	16	34	12	108	host	ruvC	0.8015625000344742	0	1
gene-PA1257	3	9	15	5	4	147	3	1	8	1	2	131	host	gene-PA1257	1.829320139515372	0	1
gene-PA0818	66	74	393	35	81	578	8	11	13	3	1	128	host	gene-PA0818	1.4976594858131667	0	1
gene-PA2482	39	37	43	40	73	96	9	9	7	8	2	106	host	gene-PA2482	0.8760887608859801	0	1
gene-PA2388	48	68	23	22	40	113	8	9	19	4	4	102	host	fpvR	0.9411411646886217	0	1
gene-PA1186	6	10	9	4	4	109	2	6	9	3	0	194	host	gene-PA1186	1.929871364730959	0	1
gene-PA1514	28	15	16	13	16	99	4	2	9	0	3	61	host	gene-PA1514	1.2643433391968182	0	1
gene-PA1110	34	27	19	12	17	78	10	5	10	3	2	226	host	gene-PA1110	1.6350892354024464	0	1
gene-PA0415	70	73	48	55	104	135	16	15	18	3	5	178	host	chpC	0.8861328802620302	0	1
gene-PA4372	105	113	47	74	93	187	5	10	34	3	0	325	host	gene-PA4372	1.0962310672764435	0	1
gene-PA4336	87	94	46	33	36	108	10	10	14	6	5	88	host	gene-PA4336	0.8346363729279384	0	1
gene-PA3645	227	406	142	381	618	233	78	106	21	67	34	66	host	fabZ	0.8905296496867925	0	1
gene-PA0080	15	16	28	11	20	144	7	4	13	4	3	187	host	gene-PA0080	1.5466105108794375	0	1
gene-PA2629	63	58	75	115	159	402	56	78	41	30	27	265	host	purB	0.945576413207788	0	1
gene-PA0639	103	123	62	111	207	226	93	153	41	81	36	335	host	gene-PA0639	0.6389981075225556	0	1
gene-PA4845	51	67	37	48	78	282	26	22	30	15	8	420	host	dipZ	1.3452145798215076	0	1
gene-PA0960	87	88	35	43	66	63	6	21	13	8	6	1346	host	gene-PA0960	2.4392748482035844	0	1
gene-PA1327	124	98	55	39	81	195	10	14	25	4	9	373	host	gene-PA1327	1.1990393530198777	0	1
gene-PA2099	12	9	12	3	9	76	4	2	10	0	0	91	host	gene-PA2099	1.5422639281288357	0	1
gene-PA3681	51	17	9	13	26	72	8	10	8	4	5	141	host	gene-PA3681	1.2806559649333074	0	1
gene-PA4650	9	13	296	4	14	187	4	5	1610	2	0	581	host	gene-PA4650	1.9832616970561867	0	1
gene-PA4992	43	32	77	40	54	236	12	13	16	9	6	292	host	gene-PA4992	1.303583279140766	0	1
gene-PA3056	142	98	32	24	44	117	4	6	4	3	4	89	host	gene-PA3056	1.0262595497426275	0	1
gene-PA5008	102	148	54	93	175	192	30	31	11	10	8	182	host	gene-PA5008	0.7996380421755568	0	1
gene-PA1290	8	16	15	5	7	62	2	0	10	2	0	50	host	gene-PA1290	1.3070643142235983	0	1
gene-PA4436	35	45	36	14	27	244	7	6	30	5	4	358	host	gene-PA4436	1.594706536929912	0	1
gene-PA1383	84	108	82	34	58	249	15	14	31	5	6	99	host	gene-PA1383	1.004903390769436	0	1
gene-PA5549	121	161	106	144	201	432	62	96	44	76	73	491	host	glmS	0.8296888765539574	0	1
gene-PA1490	9	2	25	6	3	108	0	1	24	0	0	205	host	gene-PA1490	1.8711046997104668	0	1
gene-PA4182	24	31	64	8	8	195	1	1	14	1	0	172	host	gene-PA4182	1.509135533942599	0	1
gene-PA2812	61	57	48	48	53	197	17	7	26	7	5	197	host	gene-PA2812	1.0663416040793978	0	1
gene-PA1733	53	44	24	21	24	105	2	7	10	3	1	186	host	gene-PA1733	1.3094607668807798	0	1
gene-PA0836.1	12	10	80	3	3	37	0	2	3	1	2	20	host	gene-PA0836.1	1.545191690725752	0	1
gene-PA3766	31	43	27	28	48	213	8	11	23	3	6	190	host	gene-PA3766	1.2953616985124465	0	1
gene-PA2032	71	78	19	22	46	168	12	14	12	9	4	197	host	gene-PA2032	1.1429169585869312	0	1
gene-PA3563	54	34	35	47	56	187	5	13	16	3	6	265	host	fruR	1.2982228798813709	0	1
gene-PA3769	359	446	300	600	764	778	205	240	57	163	114	370	host	guaA	0.6282956528781212	0	1
gene-PA0458	38	49	45	38	46	404	7	11	34	4	7	575	host	gene-PA0458	1.681269191342277	0	1
gene-PA5111	85	128	70	101	128	209	19	28	23	8	10	166	host	gloA3	0.7860740588745458	0	1
gene-PA2502	20	37	15	23	41	159	7	12	9	8	6	325	host	gene-PA2502	1.6461542306698744	0	1
gene-PA0225	77	52	32	22	35	165	3	6	8	2	4	163	host	gene-PA0225	1.1915939568361271	0	1
gene-PA0245	2	3	18	3	7	109	1	0	8	0	0	176	host	aroQ2	1.9649954119820088	0	1
gene-PA0198	5	8	29	5	3	160	0	4	16	1	0	118	host	exbB1	1.736614262950545	0	1
gene-PA4858	11	13	38	6	18	276	5	5	31	6	3	193	host	gene-PA4858	1.679842281537404	0	1
gene-PA0057	16	8	21	7	4	211	1	2	23	0	0	512	host	gene-PA0057	2.168858364900343	0	1
gene-PA4715	319	275	102	136	148	338	48	24	49	25	30	233	host	gene-PA4715	0.7896652057119917	0	1
gene-PA5226	101	65	60	44	57	147	11	16	13	1	7	109	host	gene-PA5226	0.8525545080211023	0	1
gene-PA2375	24	16	5	13	14	52	1	1	2	0	5	57	host	gene-PA2375	1.1812477557175765	0	1
gene-PA1682	25	57	21	46	67	137	4	12	13	6	4	283	host	gene-PA1682	1.3788788909417584	0	1
gene-PA1761	102	96	32	112	124	52	6	8	4	4	8	18	host	gene-PA1761	0.9694802062416219	0	1
gene-PA1805	1451	1611	610	1228	1743	609	225	200	74	132	85	191	host	ppiD	0.9105635726586645	0	1
gene-PA1821	534	777	110	273	371	138	71	74	24	75	32	126	host	gene-PA1821	1.030320789136036	0	1
gene-PA2598	9	15	16	2	11	114	2	1	17	0	0	115	host	gene-PA2598	1.605943196468319	0	1
gene-PA3274	12	16	9	4	6	37	0	0	4	1	0	38	host	gene-PA3274	1.2255925114629282	0	1
gene-PA2836	5	8	15	4	5	80	1	0	16	0	0	101	host	gene-PA2836	1.6553738436514456	0	1
gene-PA4783	13	12	22	8	14	155	4	4	25	5	0	188	host	gene-PA4783	1.6190166196845588	0	1
gene-PA2643	57	49	83	60	73	226	68	47	23	26	16	168	host	nuoH	0.7938461596100034	0	1
gene-PA3772	7	7	30	3	8	209	1	3	27	0	1	211	host	gene-PA3772	1.789452555372777	0	1
gene-PA0356	39	54	34	37	54	160	13	15	18	7	4	150	host	gene-PA0356	1.0297737251694226	0	1
gene-PA5374	14	26	29	374	208	98	93	54	12	13	52	93	host	betI	1.1396493881632594	0	1
gene-PA2606	25	20	11	18	13	54	3	5	3	3	5	117	host	gene-PA2606	1.365761752624198	0	1
gene-PA2791	6	8	19	8	12	64	2	2	13	0	1	28	host	gene-PA2791	1.2596124438097014	0	1
gene-PA3400	32	47	21	20	51	213	2	11	18	5	0	268	host	gene-PA3400	1.46705874370815	0	1
gene-PA1656	20	90	376	24	208	370	14	88	37	43	7	112	host	gene-PA1656	1.097311972286586	0	1
gene-PA2437	10	6	7	14	14	46	2	3	2	1	0	35	host	gene-PA2437	1.1873482717245802	0	1
gene-PA1419	48	16	23	57	17	246	3	5	30	1	2	390	host	gene-PA1419	1.6620731370013297	0	1
gene-PA4920	82	70	118	55	48	247	8	9	21	6	5	403	host	nadE	1.289245251775151	0	1
gene-PA1799	17	14	9	8	12	87	6	6	16	3	4	55	host	parR	1.226411792047226	0	1
gene-PA3126	21	26	53	9	12	120	5	7	10	5	4	77	host	ibpA	1.197073494344634	0	1
gene-PA3535	36	37	53	26	56	353	4	8	33	3	4	903	host	gene-PA3535	1.9906991636358637	0	1
gene-PA2755	155	157	68	98	94	143	30	21	24	15	21	40	host	eco	0.7362135998566748	0	1
gene-PA2613	412	413	124	328	438	266	68	61	20	37	24	281	host	gene-PA2613	0.7755503236954763	0	1
gene-PA4814	9	3	53	2	2	368	2	1	49	0	1	697	host	fadH2	2.0823584623192115	0	1
gene-PA1648	16	19	30	19	14	134	4	3	6	0	0	167	host	gene-PA1648	1.5465870098438737	0	1
gene-PA0786	3	3	11	1	3	78	0	1	9	3	0	138	host	gene-PA0786	1.967398281995794	0	1
gene-PA5263	202	186	788	161	194	369	38	49	185	30	22	530	host	argH	0.9615497472184903	0	1
gene-PA4096	2	1	27	0	0	159	1	0	6438	0	0	315	host	gene-PA4096	3.0576164950383236	0	1
gene-PA1044	24	32	24	13	19	63	4	2	4	3	3	143	host	gene-PA1044	1.3869095979893886	0	1
gene-PA1846	136	142	92	141	194	305	41	46	23	25	19	222	host	cti	0.758828072327659	0	1
gene-PA0073	22	7	18	6	10	20	1	2	11	1	1	44	host	gene-PA0073	1.0142271234922124	0	1
gene-PA4443	78	111	615	64	112	381	8	11	438	19	7	97	host	cysD	1.192310466963167	0	1
gene-PA0703	17	11	507	12	17	332	7	2	867	3	1	765	host	gene-PA0703	1.4727469467333367	0	1
gene-PPLUZ19_gp49	0	0	0	36	67	13189	5	30	2107	815	522	20680	phage	gp49	2.047743491796426	0	0
gene-PA3529	369	465	218	266	351	263	81	77	23	51	38	108	host	gene-PA3529	0.7454273944102974	0	1
gene-PA0997	2027	2051	761	886	972	386	201	112	59	55	52	128	host	pqsB	1.0963845958986962	0	1
gene-PA0695	2	2	209	0	1	113	0	0	4462	0	2	146	host	gene-PA0695	2.9732608108565537	0	1
gene-PA5448	317	278	56	290	363	203	36	29	16	10	7	236	host	wbpY	0.8700122445852502	0	1
gene-PA0273	5	3	25	0	3	71	0	1	20	0	0	171	host	gene-PA0273	1.9352125450569821	0	1
gene-PA2285	17	13	32	14	12	178	8	5	21	6	8	136	host	gene-PA2285	1.4556556369324902	0	1
gene-PA3944	35	20	84	13	21	113	2	0	18	1	0	222	host	gene-PA3944	1.4399462760305364	0	1
gene-PA1765	32	51	21	28	25	166	2	6	17	1	2	236	host	gene-PA1765	1.4497064276535137	0	1
gene-PA3153	98	264	131	135	293	565	15	37	44	9	7	436	host	wzx	1.0342069585384723	0	1
gene-PA4788	6	2	14	2	7	102	2	0	15	0	1	185	host	gene-PA4788	1.9490753084021997	0	1
gene-PA0100	229	235	218	124	277	332	29	38	29	20	13	145	host	gene-PA0100	0.7796744541458287	0	1
gene-PA4746	211	538	152	1211	2321	809	259	349	61	201	120	141	host	gene-PA4746	1.184385402249561	0	1
gene-PA2319	59	45	44	29	55	203	11	9	22	3	4	169	host	gene-PA2319	1.1409231522855985	0	1
gene-PA2877	39	28	19	12	15	142	0	4	11	2	2	301	host	gene-PA2877	1.7707687393237865	0	1
gene-PA1749	168	255	75	40	64	136	6	17	10	7	7	33	host	gene-PA1749	1.1117383879185196	0	1
gene-PA5166	97	89	40	46	64	243	15	15	21	7	4	406	host	gene-PA5166	1.3177702037611971	0	1
gene-PA1689	168	221	91	209	309	266	62	79	42	34	25	208	host	gene-PA1689	0.6621615709363109	0	1
gene-PA3217	39	48	51	36	33	224	8	8	37	7	11	218	host	cyaB	1.2264258519659352	0	1
gene-PA1358	108	103	31	43	60	83	11	11	13	4	4	135	host	gene-PA1358	0.8788488250704515	0	1
gene-PA0339	36	27	14	18	15	94	4	3	12	3	0	183	host	gene-PA0339	1.4992281457364913	0	1
gene-PA0052	6	2	14	2	2	189	0	2	9	1	0	374	host	gene-PA0052	2.201075793590234	0	1
gene-PA3086	150	100	16	53	86	155	15	17	8	3	6	225	host	gene-PA3086	1.019714913546087	0	1
gene-PA1903	14	96	288	6	156	337	0	33	20	5	1	385	host	phzE2	1.2393554299704004	0	1
gene-PA2149	0	0	3	0	0	31	0	0	4	0	0	98	host	gene-PA2149	2.4229475315170217	0	1
gene-PA3770	373	515	269	494	683	508	200	271	77	223	127	304	host	guaB	0.5140473171071868	0	1
gene-PA1968	38	45	9	23	29	35	7	7	2	1	2	31	host	gene-PA1968	0.8065609757110135	0	1
gene-PA2323	191	110	118	152	175	274	38	24	28	12	10	285	host	gene-PA2323	0.8043639741845732	0	1
gene-PA2862	36	30	45	23	22	204	7	3	22	2	3	240	host	lipA	1.4509868722782868	0	1
gene-PA0780	62	41	108	18	27	258	4770	11	13	6	2	214	host	pruR	2.8248286167183987	0	1
gene-PA0444	19	26	28	12	16	244	1	9	27	4	2	356	host	gene-PA0444	1.761907607768993	0	1
gene-PA1780	3	5	5	0	3	47	1	1	9	1	2	100	host	nirD	1.9329218606730034	0	1
gene-PA0037	16	18	29	5	14	89	1	6	23	5	0	98	host	trpI	1.2512113244345866	0	1
gene-PA2004	69	86	62	100	105	157	21	17	25	10	6	252	host	gene-PA2004	0.9140981422130732	0	1
gene-PA0284	11	10	16	2	2	128	1	0	15	3	2	108	host	gene-PA0284	1.699391943017288	0	1
gene-PA3813	499	562	130	891	1100	216	100	110	16	41	35	63	host	iscU	1.1204876492660956	0	1
gene-PA1796	62	60	25	89	113	124	22	17	17	12	8	167	host	folD	0.8459491557390965	0	1
gene-PA4264	2541	8228	1434	3960	7022	2959	1952	2700	206	1237	675	284	host	rpsJ	0.8812553186572306	0	1
gene-PA3751	125	142	61	153	195	211	28	13	24	5	6	274	host	purT	0.8614008958113156	0	1
gene-PA4629	19	20	791	22	41	236	14	21	251	8	7	163	host	gene-PA4629	1.6318782685480195	0	1
gene-PA2496	6	6	10	9	11	82	2	2	5	2	1	200	host	gene-PA2496	2.002549395553741	0	1
gene-PA3628	137	150	190	113	151	207	36	29	21	14	3	225	host	gene-PA3628	0.7360832662790807	0	1
gene-PA4019	109	96	27	78	108	120	11	18	16	9	4	209	host	gene-PA4019	0.907266976566577	0	1
gene-PA0817	109	87	26	53	107	72	13	11	12	5	3	127	host	gene-PA0817	0.8516975989164228	0	1
gene-PA1409	5	5	19	2	11	124	0	0	21	2	0	214	host	aphA	1.8953447458853554	0	1
gene-PA5518	97	104	92	97	124	425	14	35	48	12	9	341	host	gene-PA5518	1.0842411385588995	0	1
gene-PA2081	12	11	16	14	16	176	1	2	9	1	1	148	host	kynB	1.7051720963374488	0	1
gene-PA2042	168	255	85	208	364	215	39	35	33	20	19	112	host	gene-PA2042	0.8304703878681069	0	1
gene-PA1429	33	46	483	18	35	215	2	11	29	6	1	312	host	gene-PA1429	1.4956031198486168	0	1
gene-PA5355	26	29	242	8	10	255	4	2	326	7	0	527	host	glcD	1.401440898466592	0	1
gene-PA2782	7	7	12	2	3	68	1	0	9	0	0	126	host	gene-PA2782	1.8782257599746424	0	1
gene-PA2987	79	66	25	64	90	67	13	17	12	9	5	85	host	gene-PA2987	0.7208248364174205	0	1
gene-PA3538	37	32	45	30	22	273	7	7	24	8	4	375	host	gene-PA3538	1.601252965546288	0	1
gene-PA4109	44	37	1729	20	31	268	5	9	26	3	5	310	host	ampR	2.2663446387041595	0	1
gene-PA3431	5	2	11	3	4	100	1	1	11	2	1	79	host	gene-PA3431	1.7611979394202635	0	1
gene-PA0605	45	55	38	62	74	307	6	15	43	3	4	165	host	gene-PA0605	1.227404662228519	0	1
gene-PA1997	60	46	41	32	43	205	12	5	13	3	3	357	host	gene-PA1997	1.4880047846506972	0	1
gene-PA4835	31	27	15	12	22	198	6	4	29	0	1	326	host	gene-PA4835	1.7230770101792348	0	1
gene-PA3963a	12	7	18	2	6	79	3	1	15	0	0	135	host	gene-PA3963a	1.7093410120001291	0	1
gene-PA2906	105	85	27	37	51	77	16	27	16	14	5	85	host	gene-PA2906	0.7194789986224752	0	1
gene-PA2921	18	15	10	4	6	124	1	1	3	0	2	210	host	gene-PA2921	1.911266943166878	0	1
gene-PA4075	114	66	40	30	45	722	6	8	21	2	7	261	host	gene-PA4075	1.7892124632040658	0	1
gene-PA5391	6	5	19	3	1	85	5	3	12	0	3	135	host	gene-PA5391	1.7541523303734325	0	1
gene-PA1904	6	22	73	5	58	136	1	10	11	0	0	190	host	phzF2	1.390054307055124	0	1
gene-PA0218	35	18	36	14	19	241	5	4	24	1	2	191	host	gene-PA0218	1.5487222634283804	0	1
gene-PA3502	6	12	10	5	12	139	1	3	7	1	0	182	host	gene-PA3502	1.8566905793958692	0	1
gene-PA4221	1739	1801	1655	1468	1298	892	171	155	331	40	64	495	host	fptA	0.8065463842471681	0	1
gene-PA2841	31	21	15	14	32	76	6	8	6	2	0	176	host	gene-PA2841	1.4778441717684196	0	1
gene-PA2356	2	1	10	3	3	95	0	0	7	1	0	205	host	msuD	2.1790938268033346	0	1
gene-PA2539	59	36	33	90	145	90	16	40	8	15	11	73	host	gene-PA2539	0.7764697107237638	0	1
gene-PA2852	92	53	24	26	31	176	11	9	22	2	4	169	host	gene-PA2852	1.1441487408885718	0	1
gene-PA4331	58	53	19	13	36	93	3	8	7	3	17	239	host	gene-PA4331	1.3977717672014356	0	1
gene-PA3961	164	125	62	81	128	282	20	18	34	13	10	345	host	gene-PA3961	0.9856125596882042	0	1
gene-PA4657	91	68	49	54	52	167	10	9	18	8	3	333	host	gene-PA4657	1.2603648904101508	0	1
gene-PA3429	15	2	19	3	12	109	2	0	14	1	1	343	host	gene-PA3429	2.183598933548114	0	1
gene-PA1686	60	49	24	34	55	94	6	15	13	2	6	152	host	alkA	0.9957927643476351	0	1
gene-PA4701	213	215	133	129	171	314	40	43	25	29	25	311	host	gene-PA4701	0.7570033874231223	0	1
gene-PA0900	153	191	387	152	339	169	24	36	24	13	4	86	host	gene-PA0900	0.9281695148184801	0	1
gene-PA0657	295	216	82	78	95	327	25	24	41	26	11	380	host	gene-PA0657	0.9614165980468612	0	1
gene-PA1423	58	53	41	20	31	169	4	2	21	4	2	267	host	bdlA	1.3823820083489233	0	1
gene-PA5381	13	12	17	8	12	59	0	2	10	2	0	108	host	gene-PA5381	1.5047723368010817	0	1
gene-PA4760	81	116	379	58	66	312	20	18	25	11	10	194	host	dnaJ	1.1047629482402905	0	1
gene-PA0256	79	98	62	23	55	267	6	3	25	5	4	185	host	gene-PA0256	1.1646053672315995	0	1
gene-PA3947	32	29	65	13	20	321	3	10	26	1	1	137	host	rocR	1.6070003960801977	0	1
gene-PA1189	29	32	30	17	20	101	3	4	10	3	1	155	host	gene-PA1189	1.329108532985707	0	1
gene-PA4270.1	623	922	426	706	1265	447	269	315	49	217	125	64	host	gene-PA4270.1	0.7825823270839624	0	1
gene-PA4381	117	140	28	42	88	177	19	14	8	13	11	121	host	gene-PA4381	0.8907557023939474	0	1
gene-PA0334	53	48	39	31	60	191	8	12	16	3	2	353	host	gene-PA0334	1.4537888493362578	0	1
gene-PA2123	23	22	21	13	24	91	4	5	5	2	1	121	host	gene-PA2123	1.3200883240661407	0	1
gene-PA3053	35	26	33	18	28	136	4	7	18	2	5	119	host	gene-PA3053	1.1837836212827595	0	1
gene-PA4337	11	12	14	9	11	112	3	5	13	1	1	190	host	gene-PA4337	1.7525977617535178	0	1
gene-PA1675	42	47	25	44	45	68	11	12	13	13	7	74	host	gene-PA1675	0.6641614569180204	0	1
gene-PA2066	16	15	14	8	14	61	1	3	7	1	3	169	host	gene-PA2066	1.7616896139382747	0	1
gene-PA0510	4	1	18	0	2	122	1	0	18	0	1	171	host	gene-PA0510	1.924914915928299	0	1
gene-PA4091	23	32	41	24	22	245	3	4	40	3	3	435	host	hpaA	1.7319542813403188	0	1
gene-PA3049	608	611	69	86	110	63	13	35	1	5	7	48	host	rmf	1.5463503250791186	0	1
gene-PA5290	64	59	1541	31	60	228	21	16	222	6	6	421	host	gene-PA5290	1.8630756711458092	0	1
